#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Rhizobium sp. X9","Bacteria;Pseudomonadota;Alphaproteobacteria","X9","SAMN18091907","PRJNA705551","GCA_018873185.1","Complete",5.86061,59.5783,"chromosome 1:NZ_CP071311.1/CP071311.1; chromosome 2:NZ_CP071312.1/CP071312.1; plasmid p.1:NZ_CP071313.1/CP071313.1; plasmid p.2:NZ_CP071314.1/CP071314.1; plasmid p.3:NZ_CP071315.1/CP071315.1; plasmid p.4:NZ_CP071316.1/CP071316.1",,6,5341,"2021-06-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/873/185/GCA_018873185.1_ASM1887318v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/873/185/GCF_018873185.1_ASM1887318v1"
"Oceanotoga sp. DSM 15011","Bacteria;Other;Other","DSM 15011","SAMN31231234","PRJNA889047","GCA_025837015.1","Complete",2.8413,26.2,"chromosome:NZ_CP107547.1/CP107547.1",,1,2645,"2022-10-25T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/837/015/GCF_025837015.1_ASM2583701v1"
"Bacillus velezensis","Bacteria;Terrabacteria group;Bacillota","1B-23","SAMN10437817","PRJNA505829","GCA_003854915.1","Complete",4.14106,46.1,"chromosome:NZ_CP033967.1/CP033967.1",,1,3942,"2018-12-01T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/854/915/GCF_003854915.1_ASM385491v1"
"Lysinibacillus sp. B2A1","Bacteria;Terrabacteria group;Bacillota","B2A1","SAMN08464155","PRJNA432872","GCA_002973635.1","Complete",5.50884,36.5,"chromosome:CP027224.1",,1,5057,"2018-03-07T00:00:00Z",,
"Klebsiella michiganensis KCTC 1686","Bacteria;Pseudomonadota;Gammaproteobacteria","KCTC 1686","SAMN02603580","PRJNA65523","GCA_000240325.1","Complete",5.97411,56,"chromosome:NC_016612.1/CP003218.1",,1,5380,"2011-12-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/240/325/GCA_000240325.1_ASM24032v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/325/GCF_000240325.1_ASM24032v1"
"Klebsiella quasipneumoniae","Bacteria;Pseudomonadota;Gammaproteobacteria","IF2SW-P1","SAMN15061190","PRJNA635942","GCA_013366585.2","Complete",5.23464,58.1,"chromosome:NZ_CP118272.1/CP118272.1",,1,4852,"2023-02-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/366/585/GCA_013366585.2_ASM1336658v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/366/585/GCF_013366585.2_ASM1336658v2"
"Bacillus halotolerans","Bacteria;Terrabacteria group;Bacillota","F41-3","SAMN12179584","PRJNA552193","GCA_006965425.1","Complete",4.14446,43.8,"chromosome:NZ_CP041357.1/CP041357.1",,1,3687,"2019-07-14T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/965/425/GCF_006965425.1_ASM696542v1"
"Klebsiella quasipneumoniae","Bacteria;Pseudomonadota;Gammaproteobacteria","IF1SW-B2","SAMN15061188","PRJNA635942","GCA_013366635.2","Complete",5.23464,58.1,"chromosome:NZ_CP118277.1/CP118277.1",,1,4851,"2023-02-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/366/635/GCA_013366635.2_ASM1336663v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/366/635/GCF_013366635.2_ASM1336663v2"
"Klebsiella michiganensis HKOPL1","Bacteria;Pseudomonadota;Gammaproteobacteria","HKOPL1","SAMN03081460","PRJNA194061","GCA_000632415.1","Complete",5.91441,55.9,"chromosome:NZ_CP004887.1/CP004887.1",,1,5243,"2014-04-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/632/415/GCA_000632415.1_ASM63241v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/632/415/GCF_000632415.1_ASM63241v1"
"Lysinibacillus sp. JNUCC-51","Bacteria;Terrabacteria group;Bacillota","JNUCC-51","SAMN16879891","PRJNA680437","GCA_015999525.1","Complete",5.12268,36.9,"chromosome:CP065545.1",,1,4615,"2020-12-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/999/525/GCA_015999525.1_ASM1599952v1",
